subject,valence_accuracy,arousal_accuracy,overall_accuracy
4,98.75,98.625,98.25
5,98.0,98.1875,97.1875
6,99.6875,99.4375,99.3125
7,100.0,99.9375,99.9375
8,99.0,99.625,98.9375
9,96.125,97.4375,95.5
10,99.0,98.6875,98.1875
11,98.5625,98.25,97.5625
12,99.875,100.0,99.875
13,99.375,99.8125,99.25
14,99.5,99.3125,99.0625
15,99.625,99.5625,99.4375
16,99.625,99.75,99.375
17,96.875,95.8125,93.5625
18,99.125,99.0,98.5
19,98.375,98.375,97.1875
20,99.3125,99.5625,99.0
21,99.0,99.125,98.6875
22,99.125,99.375,98.6875
23,99.625,99.9375,99.625
24,97.75,99.3125,97.375
25,99.75,99.75,99.5
26,96.4375,95.625,95.125
27,100.0,99.9375,99.9375
28,98.625,98.75,98.125
29,98.75,98.9375,98.1875
30,99.5625,99.3125,99.1875
31,99.4375,99.5,99.125
32,98.375,98.4375,97.625
