subject,valence_accuracy,arousal_accuracy,overall_accuracy
1,99.375,99.25,99.25
2,94.25,93.125,89.5
3,98.375,98.5,97.5
4,94.0,95.625,92.5
5,94.875,93.5,90.625
6,98.625,97.875,97.125
7,100.0,100.0,100.0
8,98.625,98.75,97.625
9,88.75,92.875,86.75
10,96.75,97.625,95.25
11,93.5,93.125,90.125
12,99.625,99.875,99.5
13,98.75,99.375,98.375
14,98.125,98.125,97.0
15,99.0,98.75,98.25
16,99.375,99.25,99.0
17,87.125,89.0,82.625
18,97.5,96.875,95.75
19,93.0,93.875,89.625
20,93.875,97.125,92.5
21,96.75,97.625,95.25
22,97.0,97.375,95.75
23,98.125,97.75,97.125
24,90.125,96.25,89.125
25,98.5,98.875,98.125
26,87.625,87.625,83.75
27,100.0,100.0,100.0
28,91.75,91.25,89.0
29,93.25,92.25,90.125
30,98.375,97.75,97.375
31,98.0,96.0,95.5
32,89.25,92.875,85.875
