subject,valence_accuracy,arousal_accuracy,overall_accuracy
1,97.75,97.75,97.0
2,97.75,98.75,97.0
3,98.75,99.0,97.75
4,96.0,98.5,95.75
5,99.25,98.0,97.25
6,100.0,99.5,99.5
7,100.0,100.0,100.0
8,99.75,99.5,99.5
9,96.0,98.5,95.75
10,98.25,98.25,98.25
11,95.5,90.5,88.25
12,98.0,99.25,98.0
13,98.75,99.25,98.0
14,99.75,100.0,99.75
15,99.0,99.75,98.75
16,99.5,99.5,99.5
17,89.75,88.75,83.75
18,99.5,99.75,99.25
19,97.5,98.75,96.25
20,97.0,99.0,96.5
21,98.75,97.75,97.25
22,93.5,94.25,91.0
23,98.25,96.0,95.5
24,93.0,97.25,92.75
25,96.5,99.25,96.5
26,93.25,91.25,90.0
27,99.25,99.5,98.75
28,98.0,97.25,96.75
29,96.5,96.0,95.5
30,98.75,98.0,98.0
31,99.0,97.25,97.0
32,96.25,98.0,95.25
